beruf,isco_code,beschaeftigte_1000,frauen_pct,branche,lohn_median_chf,qualifikation,esco_uri,esco_titel,esco_beschreibung,score_gesamt,score_digital,score_wiederholbarkeit,score_physisch,score_kreativitaet,score_sozial,haupt_risiko,zeitrahmen,begruendung,delta_branche,delta_lohn,score_ch,adaptabilitaet,beschreibung_hash,lohnklasse
Gärtner/in EFZ,6113,15.0,35.0,Landwirtschaft,56000,Sekundär II,http://data.europa.eu/esco/occupation/98af7387-3974-457a-aa57-5397d1ea3949,Landschaftsgärtner für Innenraumbegrünung/Landschaftsgärtnerin für Innenraumbegrünung,"Landschaftsgärtner für Innenraumbegrünung entwerfen, installieren, pflegen und erhalten Grünflächen in Innenräumen entsprechend den Anforderungen der Kunden.",2.4,2.0,4.5,2.0,4.0,4.0,"Planung und Beratung von Begrünungskonzepten könnte durch KI-gestützte Visualisierungstools (z.B. 3D-Raumplanung, Pflanzenauswahl-Algorithmen) teilweise unterstützt oder vereinfacht werden. Bewässerungs- und Lichtsteuerung in Innenräumen kann durch smarte Sensorik automatisiert werden.",>10 Jahre,"Die Kerntätigkeiten – physisches Einpflanzen, Pflegen und Installieren von Grünflächen in Innenräumen – erfordern ausgeprägte manuelle Geschicklichkeit, räumliches Urteilsvermögen und direkte Kundeninteraktion, was eine Automatisierung stark erschwert. In der Schweiz ist dieser Beruf durch den hohen Stellenwert von Qualitätshandwerk und individuelle Kundenwünsche (z.B. in Büros, Hotels, Banken) geprägt, was die menschliche Komponente besonders betont. KI kann als Hilfsmittel (Pflegeplanung, Beratungstools) dienen, ersetzt aber den Beruf in absehbarer Zeit nicht.",0.0,-0.2,2.1999999999999997,3.7,573c0227eb36,< 60k CHF
Sanitärinstallateur/in EFZ,7126,15.0,2.0,Bau,78000,Sekundär II,http://data.europa.eu/esco/occupation/ed3cf43d-c2c1-4c46-82fc-1375e27e0290,Gas- und Sanitärinstallateur/Gas- und Sanitärinstallateurin,"Gas- und Sanitärinstallateure warten und installieren Wasser-, Gas- und Abwassersysteme. Sie kontrollieren die Rohrleitungen und Armaturen regelmäßig und führen bei Bedarf Reparaturen aus. Sie biegen, schneiden und installieren Rohrleitungen. Sie testen die Systeme und nehmen auf sichere und vorschriftsmäßige Weise Anpassungen vor. Sie bringen Sanitäreinrichtungen an.",2.1,1.5,4.5,1.5,3.5,3.0,"Planungs- und Diagnoseunterstützung durch KI-Tools (z.B. digitale Leckageerkennung via Sensorik, BIM-gestützte Installationsplanung), sowie administrative Tätigkeiten wie Angebotserstellung und Dokumentation",>10 Jahre,"Sanitärinstallationen erfordern ausgeprägte manuelle Geschicklichkeit, räumliches Problemlösen in beengten und unvorhersehbaren Umgebungen sowie physische Präsenz vor Ort – alles Faktoren, die eine vollständige KI-Automatisierung auf absehbare Zeit ausschliessen. In der Schweiz mit ihrem hohen Lohnniveau und strengen Normen (SVGW-Richtlinien, kantonale Vorschriften) bleibt die zertifizierte Fachkraft unerlässlich, da Haftungsfragen und Qualitätssicherung menschliches Urteilsvermögen voraussetzen. KI kann allenfalls unterstützend wirken, etwa bei der Fehlerdiagnose mittels smarter Gebäudetechnik oder der digitalen Auftragsabwicklung, ersetzt jedoch nicht die handwerkliche Kernkompetenz.",0.0,0.0,2.1,3.8,54663f1ee73b,60k–100k CHF
Maschinenführer/in,8211,15.0,15.0,Industrie,62000,Sekundär II,http://data.europa.eu/esco/occupation/71a98a24-e02b-4ba6-b4df-6556d7ae98cc,Maschinenführer in der Papierwarenerzeugung/Maschinenführerin in der Papierwarenerzeugung,"Maschinenführer in der Papierwarenerzeugung arbeiten mit Maschinen, die einen oder mehrere Vorgänge an Papier durchführen, um es für bestimmte Märkte geeignet zu machen, z. B. Lochen, Perforieren, Falten und Überziehen mit einer Kohlenstoffschicht.",5.2,2.5,8.5,3.0,8.0,8.5,"Automatisierung der repetitiven Maschinensteuerung durch CNC-Systeme und robotergestützte Qualitätskontrolle; vollautomatische Produktionslinien mit KI-gestützter Fehlerkennung können Einrichten, Überwachen und Anpassen der Maschinen übernehmen",5-10 Jahre,"In der Schweizer Papierwarenindustrie schreitet die Automatisierung durch Industrie-4.0-Lösungen und robotergestützte Fertigungsanlagen bereits voran, jedoch erfordert der Beruf weiterhin physische Präsenz für Maschinenwartung, Störungsbehebung und Einrichtung. Die hohen Schweizer Lohnkosten erhöhen den wirtschaftlichen Anreiz zur Automatisierung, was Investitionen in vollautomatische Linien beschleunigt. Kurzfristig bleibt menschliche Aufsicht bei Formatwechseln und unvorhergesehenen Störungen unersetzlich, langfristig dürften adaptive KI-Systeme jedoch einen Grossteil dieser Aufgaben übernehmen.",-0.1,0.0,5.1000000000000005,4.0,f57ace67d4ae,60k–100k CHF
Posthalter/in / Logistiker/in Post,4415,15.0,42.0,Transport,68000,Sekundär II,http://data.europa.eu/esco/occupation/96430121-2757-4e96-9d6f-7517b25db4f7,Haussitter/Haussitterin,"Haussitter wohnen vorübergehend im Haus ihres Arbeitgebers, um die Sicherheit der Immobilie während dessen Abwesenheit zu wahren. Sie überwachen die Eingangsbereiche und verhindern, dass Unbefugte das Haus betreten. Sie inspizieren den Zustand des Gebäudes, z. B. die Rohrleitungen und die Heizungsanlage, und setzen sich bei Bedarf mit Reparaturbetrieben in Verbindung. Bisweilen übernehmen Haussitter auch Reinigungstätigkeiten, leiten Post weiter und bezahlen Rechnungen.",2.1,2.0,3.5,1.5,4.0,3.5,"Partielle Automatisierung von Überwachungsaufgaben durch smarte Alarmanlagen, Kameras und IoT-Sensoren (z.B. Wassersensor, Heizungsmonitoring); Weiterleitung von Post könnte digital erfasst werden.",>10 Jahre,"Der Beruf des Haussitters ist fundamental auf physische Präsenz, Urteilsvermögen vor Ort und Vertrauenswürdigkeit angewiesen – Eigenschaften, die KI nicht replizieren kann. In der Schweiz, wo Datenschutz und persönliche Sicherheit hochgeschätzt werden, bleibt der menschliche Aspekt dieses Berufs zentral. Zwar können Smart-Home-Technologien einzelne Teilaufgaben (Überwachung, Alarmierung) ergänzen, ersetzen aber nicht die ganzheitliche menschliche Präsenz, die Eigentümer beauftragen.",0.0,0.0,2.1,3.9,c48382c0103d,60k–100k CHF
Leitende Verwaltungsbedienstete,1112,14.2,43.0,Verwaltung,150000,Tertiär,http://data.europa.eu/esco/occupation/0752ed49-03e7-4d75-8314-a051b3771a1d,public administration manager,"Leiter/Leiterinnen im öffentlichen Dienst leiten, überwachen und bewerten die Umsetzung der Regierungspolitik. Sie beaufsichtigen das Personal, verwalten die für die Umsetzung eingesetzten Ressourcen und verfassen Berichte über den Umsetzungsprozess. Außerdem kommunizieren sie mit Regierungsbeamten/-beamtinnen und der Öffentlichkeit, um sie über die Politik zu informieren. Leiter/Leiterinnen im öffentlichen Dienst können sich auch an der Gestaltung öffentlicher Maßnahmen beteiligen.",4.9,7.5,4.5,6.0,4.0,3.0,"Berichtserstellung, Datenaggregation und -analyse zur Politikumsetzung, Standardkommunikation mit Behörden sowie Ressourcenplanung könnten durch KI-gestützte Tools automatisiert werden",5-10 Jahre,"In der Schweiz sind leitende Verwaltungsbedienstete stark in föderale, politische und gesellschaftliche Prozesse eingebunden, die hohe soziale Kompetenz, Verhandlungsgeschick und kontextuelles Urteilsvermögen erfordern. Die mehrsprachige, konsensorientierte Verwaltungskultur (Konkordanzdemokratie) erschwert eine weitgehende KI-Substitution erheblich. Während administrative Routinetätigkeiten wie Berichtswesen oder Ressourcenverwaltung zunehmend automatisierbar sind, bleibt die strategische Führungsverantwortung und die politische Kommunikation mittelfristig auf menschliches Urteil angewiesen.",0.1,0.4,5.4,8.5,96b3bb29a486,> 150k CHF
Bauingenieur/in,2142,14.0,18.0,Bau,115000,Tertiär,http://data.europa.eu/esco/occupation/d7d986e1-7333-431b-9719-0c5c6939e360,Bauingenieur/Bauingenieurin,,4.8,7.0,5.5,3.5,4.0,4.5,"Statische Berechnungen, Tragwerksanalysen, BIM-basierte Planungsprozesse, Kostenkalkulationen und normenkonforme Prüfungen (SIA-Normen) könnten weitgehend automatisiert werden.",5-10 Jahre,"Bauingenieure in der Schweiz arbeiten intensiv mit digitalen Tools wie BIM, CAD und Berechnungssoftware, was eine partielle KI-Automatisierung bei Routineberechnungen und Planprüfungen begünstigt. Allerdings erfordern komplexe Projekte (z.B. alpine Infrastruktur, Tunnelbau wie NEAT-Nachfolgeprojekte) erhebliches kontextspezifisches Urteilsvermögen, Kreativität und koordinative Aufgaben mit Behörden, Auftraggebern und Handwerkern. Die starke Regulierungsdichte in der Schweiz (SIA, BAFU) verlangt zudem menschliche Verantwortungsübernahme, was den Automatisierungsgrad mittelfristig begrenzt.",0.0,0.2,5.0,7.3,35eb921c89c0,100k–150k CHF
"Bäcker, Konditoren und Konfektmacher",7512,14.0,52.5,Landwirtschaft,54000,Sekundär II,http://data.europa.eu/esco/occupation/e00c46c4-bd3c-4d88-8d30-fc6f951554bd,Konfektmacher/Konfektmacherin,"Konfektmacher stellen eine Vielzahl von Kuchen, Süßwaren und anderen Konfektwaren zu industriellen Zwecken oder zum Direktvertrieb her.",4.1,1.5,7.0,2.5,3.5,4.0,"Industrielle Serienproduktion von Standardgebäck, Teigportionierung, Backzeitsteuerung und Qualitätskontrolle durch Robotik und Sensorik; computergesteuerte Backöfen und automatisierte Förderanlagen ersetzen repetitive Handgriffe",3-5 Jahre,"In der Schweizer Lebensmittelindustrie (z.B. Großbäckereien wie Aryzta oder Jowa) ist die Automatisierung repetitiver Produktionsschritte bereits weit fortgeschritten. Handwerkliche Konditoren und Confiseure in Einzelbetrieben sind weniger gefährdet, da Kreativität, Kundenkontakt und manuelle Präzision beim Dekorieren schwer automatisierbar bleiben. Der Beruf spaltet sich zunehmend in einen hoch automatisierten Industriezweig und ein widerstandsfähiges handwerkliches Segment auf.",0.0,-0.2,3.899999999999999,3.5,876e51f4603d,< 60k CHF
Apotheker/in,2262,14.0,72.0,Gesundheit,110000,Tertiär,http://data.europa.eu/esco/occupation/7c132147-428b-4ea3-87e1-70f7abb691ce,Apotheker/Apothekerin,"Apotheker/Apothekerinnen bereiten Arzneimittel zu, geben Arzneimittel ab und verkaufen frei erhältliche Arzneimittel. Sie bieten klinische Informationen über Arzneimittel, berichten über vermutete Nebenwirkungen und bieten Patientinnen/Patienten personalisierte Unterstützung. Apotheker/Apothekerinnen formulieren und testen Arzneimittel in Laboren, lagern sie, konservieren sie und geben sie ab.",5.4,7.0,6.5,4.0,5.5,3.5,"Automatisierte Medikamentenausgabe durch Roboterapotheken, KI-gestützte Interaktionsprüfungen und Dosierungsempfehlungen sowie digitale Beratungssysteme für Standardanfragen könnten Routinetätigkeiten ersetzen.",5-10 Jahre,"In der Schweiz sind Roboterapotheken (z.B. bei Versandapotheken wie Zur Rose/DocMorris) bereits im Einsatz und übernehmen zunehmend Lager- und Ausgabeprozesse. Die stark regulierte Umgebung durch Swissmedic und das HMG schützt den Beruf kurzfristig vor vollständiger Automatisierung, da rechtliche Verantwortung und Fachkompetenz gesetzlich beim Apotheker verankert bleiben. Die personalisierte Patientenberatung, insbesondere bei komplexen Polymedikationen und vulnerablen Bevölkerungsgruppen, bleibt ein schwer automatisierbarer Kernbereich.",-0.3,0.2,5.300000000000001,7.4,f7582a8a20d5,100k–150k CHF
Pharmazeutische Techniker und Assistenten,3213,13.8,94.1,Gesundheit,68000,Sekundär II,http://data.europa.eu/esco/occupation/7b74626d-b487-48a1-9e80-47faf9928210,Pharmazeutisch-technische Assistent/Pharmazeutisch-technische Assistentin,"Pharmazeutisch-technische Assistenten kontrollieren unter der Aufsicht eines Apothekers eingehende Waren. Sie überwachen die Arzneimittelbestände und kümmern sich um die ordnungsgemäße Lagerung. Sofern dies nach nationalem Recht zulässig ist, geben sie Medikamente aus und leisten Beratung zum richtigen Gebrauch.",5.2,6.5,7.0,3.5,7.5,4.0,"Automatisierte Lagerverwaltung, Bestandsüberwachung und Kommissionierung von Medikamenten durch Roboterapotheken sowie KI-gestützte Medikationsüberprüfung und Interaktionschecks",3-5 Jahre,"In der Schweiz sind Roboterapothekenssysteme (z.B. von BD Rowa oder Willach) bereits in grösseren Apotheken und Spitälern im Einsatz, was repetitive Lager- und Ausgabetätigkeiten zunehmend automatisiert. Die regulatorischen Rahmenbedingungen (Heilmittelgesetz, HMG) schützen vorerst Tätigkeiten, die pharmazeutische Fachkompetenz und persönliche Beratung erfordern, da die Abgabe verschreibungspflichtiger Medikamente an qualifiziertes Personal gebunden bleibt. Die persönliche Patientenberatung, insbesondere bei vulnerablen Bevölkerungsgruppen und komplexen Medikationsregimes, bleibt ein wesentlicher menschlicher Faktor, der die vollständige Automatisierung bremst.",-0.3,0.0,4.9,4.8,451d85b71f40,60k–100k CHF
Technische Verkaufsfachkräfte (ohne Informations- und Kommunikationstechnologie),2433,13.7,17.1,Finanzen,115000,Tertiär,http://data.europa.eu/esco/occupation/fd4b90ed-6bb4-447e-b13a-afb8015700b3,Verkaufsberater für Solarenergie/Verkaufsberaterin für Solarenergie,"Verkaufsberater für Solarenergie bieten Beratung zu Solarenergie für private oder industrielle Zwecke und bemühen sich, die Nutzung von Solarenergie als alternative und nachhaltigere Energiequelle zu fördern. Sie kommunizieren mit potenziellen Kunden und nehmen an Networking-Veranstaltungen teil, um einen stärkeren Absatz von Solarenergieprodukten zu gewährleisten.",4.2,5.5,4.5,3.5,5.0,2.5,"Automatisierte Lead-Qualifizierung, KI-gestützte Angebotskalkulation und digitale Beratungstools (z.B. virtuelle Solarpotenzial-Analysen via Satellitendaten) könnten Standardberatungsschritte ersetzen",3-5 Jahre,"In der Schweiz, wo der Solarmarkt durch das Energiegesetz und Förderprogramme (z.B. KEV/Einmalvergütung) stark reguliert ist, können KI-Tools Teile der technischen Beratung und Angebotserstellung übernehmen. Der persönliche Vertrauensaufbau mit Schweizer Privat- und Gewerbekunden sowie die komplexe Beratung zu lokalen Bauvorschriften und kantonalen Förderprogrammen bleibt jedoch stark auf menschliche Interaktion angewiesen. Das Networking und der Beziehungsaufbau – besonders im B2B-Segment – stellen weiterhin eine Kernkompetenz dar, die KI nur schwer replizieren kann.",0.3,0.2,4.7,7.6,f5f914067eb2,100k–150k CHF
Automatiker und verwandte Berufe,7412,13.2,4.5,Industrie,72000,Sekundär II,http://data.europa.eu/esco/occupation/8467dda9-34c6-4c6f-aa37-e7bddffac007,Angehöriger der mit der Gesundheit von Wassertieren befassten Berufe/Angehörige der mit der Gesundheit von Wassertieren befassten Berufe,"Angehörige der mit der Gesundheit von Wassertieren befassten Berufe diagnostizieren, verhindern und behandeln Erkrankungen, Verletzungen und Fehlfunktionen bei Wassertieren, indem sie geeignete Probenahmeprotokolle anwenden. Sie überwachen die Verwendung von Arzneimitteln, einschließlich Impfstoffen, erheben Daten über die Gesundheit von Fischen und erstatten dem entsprechenden Personal regelmäßig Bericht. Sie können eine breite Palette von Wassertieren versorgen oder sich auf die Behandlung einer bestimmten Gruppe oder ein bestimmtes Fachgebiet spezialisieren. Sie können das Personal in Fischfarmen über bewährte Verfahren in Bezug auf die Gesundheit und das Wohlbefinden der Kultur beraten, unterstützen und schulen.",3.2,4.5,3.5,2.5,4.0,4.5,"Automatisierte Überwachungssysteme (Sensoren, Bildanalyse) könnten Krankheitserkennung bei Fischen und Datenerhebung zur Wasserqualität teilweise übernehmen; KI-gestützte Diagnosetools könnten Entscheidungshilfen bei Standarderkrankungen bieten",5-10 Jahre,"Der Beruf kombiniert stark physische, diagnostische und beratende Tätigkeiten in einem biologisch komplexen Umfeld, was eine vollständige Automatisierung sehr unwahrscheinlich macht. In der Schweiz, wo Aquakultur ein Nischensektor ist, bleibt der Bedarf an spezialisierten Fachkräften mit praktischem Know-how hoch – KI kann höchstens als Unterstützungswerkzeug (z.B. Bilderkennungssysteme für Fischgesundheit) eingesetzt werden. Die Schulung und Beratung von Farmenpersonal sowie situative Entscheidungsfindung bei atypischen Krankheitsverläufen bleiben klar dem Menschen vorbehalten.",-0.1,0.0,3.1,4.6,09e8057f36c8,60k–100k CHF
"Uhrmacher, Uhrenarbeiter, Mikromechaniker",7311,13.1,56.0,Industrie,76000,Sekundär II,http://data.europa.eu/esco/occupation/11eb55d3-4dbe-45c5-a6ce-f04ae843c938,Uhrmacher/Uhrmacherin,Uhrmacher stellen mechanische oder elektronische Uhren her. Sie verwenden manuelle oder automatisierte Präzisionswerkzeuge zur Montage von Zeitmessgeräten. Bisweilen führen Uhrmacher auch Reparaturen aus. Sie arbeiten in Werkstätten oder in Fabriken.,3.8,2.0,6.5,2.5,4.0,5.5,Automatisierte Montagelinien und Robotiksysteme für Serienproduktion von Uhrkomponenten; CNC-gesteuerte Mikropräzisionsfertigung könnte repetitive Montageschritte in der Massenproduktion ersetzen,5-10 Jahre,"Die Schweizer Uhrenindustrie kombiniert Hochpräzisionsfertigung mit handwerklichem Erbe – insbesondere im Luxussegment (Haute Horlogerie) bleibt die manuelle Handwerkskunst ein zentrales Qualitätsmerkmal und Verkaufsargument, das bewusst nicht automatisiert wird. In der Massenproduktion (z.B. Swatch Group) ist Automatisierung bereits weit fortgeschritten, während bei Reparaturen, Komplikationsuhren und individuellem Kundenkontakt die menschliche Expertise unverzichtbar bleibt. Die physische Feinmotorik, das taktile Gespür für Mikrobauteile und das Diagnosewissen bei Reparaturen stellen für aktuelle KI-Systeme noch erhebliche Hürden dar.",-0.1,0.0,3.7,4.2,254662ad38a5,60k–100k CHF
Bürokräfte in der Transportwirtschaft und verwandte Berufe,4323,12.7,21.4,Verwaltung,65000,Sekundär II,http://data.europa.eu/esco/occupation/6c999fc7-c6b7-4ef3-a4b9-af124a1783a2,Büroassistent/Büroassistentin,"Büroassistenten übernehmen Büro- und Verwaltungsaufgaben in Büros und unterstützen den Geschäftsbetrieb innerhalb einer Abteilung. Sie gehen allen Verwaltungsbeschäftigten, Sekretariatskräften und Assistenten zur Hand, indem sie Korrespondenz ordnen, Formulare und Dokumente ausfüllen, Telefonanrufe entgegennehmen, Kunden in Empfang nehmen, Sitzungstermine planen und Getränke servieren.",6.2,7.5,7.8,4.5,7.5,4.5,"Automatische Dokumentenverarbeitung, KI-gestützte Terminplanung, Chatbots für Kundenanfragen und automatische Formularausfüllung können grosse Teile der Routineaufgaben übernehmen.",3-5 Jahre,"In der Schweizer Transportwirtschaft (Logistik, SBB, Post, Spedition) schreitet die Digitalisierung von Büroprozessen durch ERP-Systeme und KI-Tools bereits rasch voran. Repetitive Aufgaben wie Dokumentenverwaltung, Telefonweiterleitung und Terminplanung sind gut automatisierbar, jedoch erfordern Kundenempfang und die Koordination mit physischen Abläufen weiterhin menschliche Präsenz. Der Schweizer Arbeitsmarkt mit seinem Fokus auf Qualität und persönlichem Service dürfte den vollständigen Ersatz verzögern, wobei eine signifikante Reduktion der Stellen durch Produktivitätssteigerung wahrscheinlich ist.",0.1,0.0,6.3,5.2,9d5bb3436670,60k–100k CHF
Sekretariatsfachkräfte im Gesundheitswesen,3344,12.7,97.7,Finanzen,82000,Sekundär II,http://data.europa.eu/esco/occupation/045f05f2-4ff8-46b2-9d08-e12a81657498,medizinischer Sekretär/medizinische Sekretärin,"Medizinische Sekretäre arbeiten sehr eng mit Angehörigen der Gesundheitsberufe zusammen. Sie helfen bei Bürotätigkeiten, z. B. beim Schriftverkehr, bei Terminvereinbarungen und bei der Beantwortung von Patientenfragen.",6.4,8.5,7.5,4.0,7.5,3.5,"Terminplanung, Schriftverkehr, Codierung von Diagnosen (ICD/TARMED), Transkription medizinischer Berichte sowie Beantwortung standardisierter Patientenanfragen könnten durch KI-gestützte Systeme (z.B. automatische Spracherkennung, chatbasierte Triage) übernommen werden.",3-5 Jahre,"In der Schweiz sind medizinische Sekretariate durch komplexe Abrechnungssysteme wie TARMED/TARDOC und mehrsprachige Kommunikation (DE/FR/IT) teilweise anspruchsvoller als anderswo, was den Automatisierungsdruck leicht verlangsamt. Dennoch dringen KI-Lösungen für Diktiersoftware, automatische Terminbuchung und Patientenkommunikation (z.B. via Portale wie Doctolib) bereits in Schweizer Praxen vor. Der direkte Patientenkontakt, emotionale Sensibilität im Gesundheitskontext und der Umgang mit vulnerablen Personen wirken als Schutzfaktor gegen vollständige Automatisierung.",0.3,0.0,6.7,5.9,2449c6fca231,60k–100k CHF
Führungskräfte in der Erbringung von Dienstleistungen im Bereich Informations- und Kommunikationstechnologie,1330,12.4,12.5,Gastgewerbe,85000,Tertiär,http://data.europa.eu/esco/occupation/3c136897-4e0e-41ef-bb57-d8152323b93a,Führungskraft für Unternehmensdienstleistungen,"Führungskräfte für Unternehmensdienstleistungen sind für die Erbringung professioneller Dienstleistungen an Unternehmen zuständig. Sie organisieren die Erbringung maßgeschneiderter Dienstleistungen und tauschen sich mit den Kunden aus, um die vertraglichen Verpflichtungen beider Parteien zu vereinbaren.",4.2,7.5,4.0,6.0,4.5,2.5,"Automatisierung von Reporting, Vertragsanalysen, SLA-Monitoring und standardisierten Kundenanfragen durch KI-Tools; Routineentscheidungen im Ressourcenmanagement könnten durch KI-gestützte Systeme übernommen werden",5-10 Jahre,"Führungskräfte im ICT-Dienstleistungsbereich arbeiten zwar stark digital, jedoch erfordert ihre Rolle komplexe Kundenbeziehungen, Verhandlungsgeschick und strategisches Urteilsvermögen, was eine vollständige Automatisierung hemmt. In der Schweiz sind ICT-Führungskräfte stark in regulatorische und compliance-relevante Entscheidungsprozesse eingebunden (z.B. DSG, branchenspezifische Anforderungen), was menschliche Verantwortlichkeit weiterhin zentral macht. KI wird eher als Unterstützungswerkzeug fungieren und repetitive Managementaufgaben übernehmen, nicht jedoch die strategische Kundenführung ersetzen.",0.0,0.0,4.2,6.7,00ec687e0886,60k–100k CHF
Verkaufsaufsichtskräfte in Handelsgeschäften,5222,12.2,63.9,Detailhandel,56000,Sekundär II,http://data.europa.eu/esco/occupation/bdfb48e0-79dc-4b63-8470-db2e03b37326,Verkaufsaufsichtskraft,"Verkaufsaufsichtskräfte sind für reibungslose Abläufe in Geschäften gemäß den gesetzlichen Vorschriften und den Unternehmensrichtlinien zuständig. Sie beaufsichtigen geschäftliche Tätigkeiten in den Bereichen Budget, Inventar und Kundendienst. Ferner überwachen Verkaufsaufsichtskräfte die Leistung der Mitarbeiter und stellen sicher, dass die Ziele erreicht werden.",4.8,6.5,5.5,3.5,5.5,3.0,"Automatisierung von Budget- und Inventarüberwachung, KI-gestützte Leistungsanalyse der Mitarbeitenden sowie automatisierte Berichterstattung und Schichtplanung könnten Teile der Supervisionsaufgaben ersetzen.",5-10 Jahre,"Im Schweizer Detailhandel (z.B. Migros, Coop, Manor) werden zunehmend digitale Tools für Inventarmanagement und Personalplanung eingesetzt, was administrative Supervisionsaufgaben teilweise automatisiert. Die Kernfunktion der Aufsichtskraft – Teamführung, Konfliktmanagement, Motivation und situatives Entscheiden vor Ort – bleibt jedoch stark von sozialer Kompetenz und physischer Präsenz abhängig und damit schwer vollständig automatisierbar. In der Schweiz erschweren zudem der Fachkräftemangel und hohe Qualitätsansprüche im Kundendienst eine rasche Substitution durch KI-Systeme.",0.2,-0.2,4.8,4.5,f2fbbe7c37bf,< 60k CHF
Fachkräfte für Rechts- und verwandte Angelegenheiten,3411,12.1,65.5,Soziales,72000,Sekundär II,http://data.europa.eu/esco/occupation/bac62d45-bb74-45fa-9b38-a3ebf2095212,Sachbearbeiter für Rechtsangelegenheiten/Sachbearbeiterin für Rechtsangelegenheiten,"Sachbearbeiter für Rechtsangelegenheiten überwachen den Ablauf von Straf- und Zivilsachen von der Eröffnung bis zum Abschluss. Sie überprüfen die Verfahrensakten und den Verfahrensablauf, um die Rechtmäßigkeit der Verfahren sicherzustellen. Außerdem sorgen sie dafür, dass die Verfahrensschritte fristgerecht stattfinden und erst abgeschlossen werden, nachdem alles ordnungsgemäß bearbeitet wurde.",6.8,8.5,7.5,7.0,6.5,5.5,"Automatisierte Fristenüberwachung, Dokumentenprüfung und Verfahrensstatusverfolgung durch KI-gestützte Rechtsmanagementsysteme; Plausibilitätsprüfung von Verfahrensakten mittels NLP",3-5 Jahre,"In der Schweiz werden Justiz-IT-Systeme wie Justitia.Swiss schrittweise digitalisiert, was die Grundlage für KI-Automatisierung von Fristenkontrolle und Verfahrensüberwachung schafft. Die Tätigkeiten sind stark regelbasiert und dokumentenzentriert, was sie gut automatisierbar macht; jedoch erfordern kantonale Besonderheiten, dreisprachige Rechtstexte und die Schnittstellenarbeit mit verschiedenen Behörden weiterhin menschliche Koordination. Eine Teilautomatisierung der Routineprüfungen ist realistisch, während komplexe Verfahrensbeurteilungen und Behördenkommunikation menschliche Expertise erfordern werden.",0.0,0.0,6.8,5.3,d4268f61a2ae,60k–100k CHF
Frachtarbeiter und verwandte Berufe,9333,12.0,29.4,Industrie,54000,Keine Ausbildung,http://data.europa.eu/esco/occupation/92371348-ef8f-41ce-9666-c903b57cc8b4,Bediener intermodaler Einrichtungen im Schienenverkehr/Bedienerin intermodaler Einrichtungen im Schienenverkehr,"Bediener intermodaler Einrichtungen im Schienenverkehr helfen beim Verladen von Anhängern und Containern auf Güterwaggons und Fahrgestelle. Sie manövrieren Kombinationen aus Zugmaschinen und Anhängern durch enge Bereiche und im Bereich von Parkplätzen. Sie benutzen eine Computerperipherie an Bord, um mit dem Datenverwaltungssystem vor Ort zu kommunizieren und Güterwaggons zu erkennen.",4.8,5.5,6.5,3.0,6.5,7.5,"Automatisierte Kransysteme, autonome Yard-Trucks und KI-gestützte Ladeplanung könnten das Rangieren und Verladen von Containern übernehmen; digitale Datenverwaltungssysteme (TMS) ersetzen bereits manuelle Dateneingaben",5-10 Jahre,"In der Schweiz investieren SBB Cargo und intermodale Terminalbetreiber wie RAlpin in Automatisierungstechnologien, jedoch erfordert das Manövrieren in beengten Verhältnissen und das Handling unvorhergesehener Situationen noch erhebliche menschliche Urteilsfähigkeit. Die physische Komplexität des Berufs – enge Rangierflächen, variierende Ladegüter, Sicherheitsanforderungen – verlangsamt die vollständige Automatisierung. Mittelfristig ist eine Hybridlösung wahrscheinlich, bei der KI die Routineaufgaben übernimmt, während Menschen für Ausnahmesituationen zuständig bleiben.",-0.1,-0.2,4.5,2.9,dcab509c4a55,< 60k CHF
Qualitätsmanager/in,2146,12.0,35.0,Industrie,110000,Tertiär,http://data.europa.eu/esco/occupation/fdb16700-109e-4d02-949e-3213f278df93,Qualitätsbeauftragter in der Industrie/Qualitätsbeauftragte in der Industrie,"Qualitätsbeauftragte in der Industrie überwachen und kontrollieren die Informationsgüter, indem sie Verfahren für die Einhaltung von Industriestandards festlegen. Sie führen Prüfungen in industriellen Prozessen durch, beraten zu Präventiv- und Korrekturmaßnahmen und sorgen für die Einhaltung der Industriestandards.",5.8,7.5,6.5,4.0,5.5,4.5,"Automatisierte Auditierung von Qualitätsdaten, KI-gestützte Erkennung von Abweichungen in Produktionsprozessen, automatische Dokumentenerstellung für ISO-Normen und regelbasierte Compliance-Prüfungen",3-5 Jahre,"In der Schweizer Präzisionsindustrie (Uhren, Pharma, Maschinenbau) werden Qualitätsmanagementsysteme zunehmend durch KI-gestützte Bilderkennungs- und Anomalie-Detektionssysteme ergänzt. Repetitive Aufgaben wie Dokumentenprüfung, Normkonformitäts-Checks (ISO 9001, GMP) und Berichterstattung sind gut automatisierbar. Jedoch erfordert die strategische Beratung zu Korrekturmassnahmen, die Kommunikation mit Lieferanten und Aufsichtsbehörden sowie das Einleiten organisatorischer Veränderungen weiterhin menschliches Urteilsvermögen und Verhandlungsgeschick.",-0.1,0.2,5.9,7.6,689374b9aef7,100k–150k CHF
